animal_tag,hex,RGB,,,
116,#d9d9d9,"217,217, 217",217,217,217
96,#a6cee3,"166,206, 227",166,206,227
99,#1f78b4,"31,120, 180",31,120,180
119,#b2df8a,"178,223, 138",178,223,138
139,#33a02c,"51,160, 44",51,160,44
94,#fb9a99,"251,154, 153",251,154,153
135,#e31a1c,"227,26, 28",227,26,28
136,#fdbf6f,"253,191, 111",253,191,111
138,#ff7f00,"255,127, 0",255,127,0
133,#cab2d6,"202,178, 214",202,178,214
111,#6a3d9a,"106,61, 154",106,61,154
118,#ffff99,"255,255, 153",255,255,153
137,#b15928,"177,89, 40",177,89,40
131,#8dd3c7,"141,211, 199",141,211,199
100,#bebada,"190,186, 218",190,186,218
134,#fb8072,"251,128, 114",251,128,114
117,#80b1d3,"128,177, 211",128,177,211
92,#fdb462,"253,180, 98",253,180,98
132,#b3de69,"179,222, 105",179,222,105
112,#fccde5,"252,205, 229",252,205,229
